seg_key,episode,segment,scenario,difficulty,tags,n_frames,traj_len_m,total_heading_deg,net_heading_deg,max_left_turn_deg,max_right_turn_deg,n_turn_events,n_left_events,n_right_events,curvature_density,heading_err_deg,frechet_norm
episode_0000_seg03,0,3,intersection,hard,intersection|left_turn|right_turn|multi_turn,719,62.07666973088092,336.55751138449136,-160.6053459863903,36.331216469555415,118.76313286148928,3,1,2,542.1642508265325,12.87901710525455,0.10458093601789971
episode_0001_seg02,1,2,straight,easy,straight|short,389,33.73760058300249,70.55697182923379,-17.01751788567165,0.0,0.0,0,0,0,209.13452827105155,11.76825253822654,0.13022180277137418
episode_0001_seg03,1,3,complex_urban,very_hard,complex_urban|left_turn|right_turn|multi_turn|high_curvature,1242,109.88202850410218,1322.8454683309355,261.3080213855775,345.47805940768956,227.03539304629163,9,3,6,1203.8779101002401,17.54072569841931,0.0846694830421784
episode_0002_seg20,2,20,intersection,hard,intersection|left_turn|right_turn|multi_turn,1088,96.02840370076672,245.58979960486164,12.995792310505806,39.362987593358554,40.82939609354145,3,2,1,255.74703956356694,16.69220833238876,0.0987214586506034
episode_0002_seg22,2,22,intersection,hard,intersection|left_turn|right_turn|multi_turn,1032,94.62924897331062,342.43521036355537,-162.622801210135,33.16088439906656,109.36869151025894,3,1,2,361.87036680396386,25.6462871791736,0.06994336764354518
episode_0003_seg03,3,3,winding,hard,winding|left_turn|right_turn|multi_turn|long,2048,179.2361614540324,1008.4829021048334,192.25214867613215,310.5840268476097,112.14656285920073,6,2,4,562.655936125631,9.889211152712733,0.07461562390615233
episode_0004_seg32,4,32,straight,easy,straight|left_turn|short,378,34.52222862550791,113.40144292143717,16.920158333030514,30.394300964285833,0.0,1,1,0,328.4881869927908,43.90220361529702,0.15644834967416593
episode_0005_seg01,5,1,winding,hard,winding|left_turn|right_turn|multi_turn|long,2738,248.29880803397674,1170.4527483471602,155.60033634314865,331.67296021908766,108.5321334609585,11,3,8,471.3887906328562,12.49464983110107,0.06732913859023837
episode_0011_seg38,11,38,sharp_right_turn,hard,sharp_right_turn|right_turn|short,285,33.06473950203101,127.14976559420174,-83.54433155676085,0.0,75.03693527659615,1,0,1,384.5479126983339,27.001506201672548,0.15988697216042108
episode_0011_seg40,11,40,complex_urban,very_hard,complex_urban|left_turn|right_turn|multi_turn|high_curvature,949,83.34734745216609,1051.4304815746018,-2.9998219226516483,330.8660587131383,334.74770751139823,6,3,3,1261.5044314134036,21.57148758652828,0.1061697274647399
